Date,Series,Value
2017-02-02 00:00:00,Volume Intensity,0.0418
2017-02-03 00:00:00,Volume Intensity,0.0329
2017-02-04 00:00:00,Volume Intensity,0.0279
2017-02-05 00:00:00,Volume Intensity,0.0276
2017-02-06 00:00:00,Volume Intensity,0.0426
2017-02-07 00:00:00,Volume Intensity,0.0499
2017-02-08 00:00:00,Volume Intensity,0.0547
2017-02-09 00:00:00,Volume Intensity,0.0671
2017-02-10 00:00:00,Volume Intensity,0.0548
2017-02-11 00:00:00,Volume Intensity,0.0398
2017-02-12 00:00:00,Volume Intensity,0.0309
2017-02-13 00:00:00,Volume Intensity,0.0413
2017-02-14 00:00:00,Volume Intensity,0.0319
2017-02-15 00:00:00,Volume Intensity,0.0325
2017-02-16 00:00:00,Volume Intensity,0.0309
2017-02-17 00:00:00,Volume Intensity,0.0214
2017-02-18 00:00:00,Volume Intensity,0.0194
2017-02-19 00:00:00,Volume Intensity,0.0199
2017-02-20 00:00:00,Volume Intensity,0.0291
2017-02-21 00:00:00,Volume Intensity,0.0332
2017-02-22 00:00:00,Volume Intensity,0.0379
2017-02-23 00:00:00,Volume Intensity,0.0423
2017-02-24 00:00:00,Volume Intensity,0.1067
2017-02-25 00:00:00,Volume Intensity,0.0703
2017-02-26 00:00:00,Volume Intensity,0.0489
2017-02-27 00:00:00,Volume Intensity,0.0448
2017-02-28 00:00:00,Volume Intensity,0.0450
2017-03-01 00:00:00,Volume Intensity,0.0376
2017-03-02 00:00:00,Volume Intensity,0.0423
2017-03-03 00:00:00,Volume Intensity,0.1121
2017-03-04 00:00:00,Volume Intensity,0.0703
2017-03-05 00:00:00,Volume Intensity,0.0497
2017-03-06 00:00:00,Volume Intensity,0.0598
2017-03-07 00:00:00,Volume Intensity,0.0426
2017-03-08 00:00:00,Volume Intensity,0.0362
2017-03-09 00:00:00,Volume Intensity,0.0368
2017-03-10 00:00:00,Volume Intensity,0.0681
2017-03-11 00:00:00,Volume Intensity,0.0935
2017-03-12 00:00:00,Volume Intensity,0.0431
2017-03-13 00:00:00,Volume Intensity,0.0591
2017-03-14 00:00:00,Volume Intensity,0.0451
2017-03-15 00:00:00,Volume Intensity,0.0466
2017-03-16 00:00:00,Volume Intensity,0.0450
2017-03-17 00:00:00,Volume Intensity,0.0395
2017-03-18 00:00:00,Volume Intensity,0.0339
2017-03-19 00:00:00,Volume Intensity,0.0342
2017-03-20 00:00:00,Volume Intensity,0.0564
2017-03-21 00:00:00,Volume Intensity,0.0425
2017-03-22 00:00:00,Volume Intensity,0.0859
2017-03-23 00:00:00,Volume Intensity,0.0632
2017-03-24 00:00:00,Volume Intensity,0.0444
2017-03-25 00:00:00,Volume Intensity,0.0307
2017-03-26 00:00:00,Volume Intensity,0.0350
2017-03-27 00:00:00,Volume Intensity,0.0433
2017-03-28 00:00:00,Volume Intensity,0.0396
2017-03-29 00:00:00,Volume Intensity,0.0258
2017-03-30 00:00:00,Volume Intensity,0.0339
2017-03-31 00:00:00,Volume Intensity,0.0302
2017-04-01 00:00:00,Volume Intensity,0.0309
2017-04-02 00:00:00,Volume Intensity,0.0457
2017-04-03 00:00:00,Volume Intensity,0.0411
2017-04-04 00:00:00,Volume Intensity,0.0319
2017-04-05 00:00:00,Volume Intensity,0.0396
2017-04-06 00:00:00,Volume Intensity,0.0368
2017-04-07 00:00:00,Volume Intensity,0.0263
2017-04-08 00:00:00,Volume Intensity,0.0188
2017-04-09 00:00:00,Volume Intensity,0.0230
2017-04-10 00:00:00,Volume Intensity,0.0367
